prompt_style,expected,output,strict_valid,exact,history_consistent,turn,candidate_count
curriculum,BEGIN,MINEY,True,False,False,3,1
gameplay,BEGIN,CINCH,True,False,False,3,1
curriculum,EDICT,SHEAR,True,False,False,2,15
gameplay,EDICT,CRANE,True,False,False,2,15
curriculum,LUNGE,SHEAR,True,False,False,2,61
gameplay,LUNGE,CRANE,True,False,False,2,61
curriculum,DETER,SHEAR,True,False,False,2,102
gameplay,DETER,CRANE,True,False,False,2,102
curriculum,MERRY,FREED,True,False,False,3,8
gameplay,MERRY,ERUPT,True,False,False,3,8
curriculum,WINDY,FILTH,True,False,False,3,16
gameplay,WINDY,CLOTH,True,False,False,3,16
curriculum,BIDDY,DINGY,True,False,False,4,2
gameplay,BIDDY,DINGY,True,False,False,4,2
curriculum,DROIT,SHEAR,True,False,False,2,23
gameplay,DROIT,CRANE,True,False,False,2,23
curriculum,BIRCH,TRIUM,True,False,False,3,3
gameplay,BIRCH,BRITZ,True,False,False,3,3
curriculum,STOIC,SHEAR,True,False,False,2,21
gameplay,STOIC,CRANE,True,False,False,2,21
curriculum,GLEAM,LEACH,True,False,False,3,4
gameplay,GLEAM,LEACH,True,False,False,3,4
curriculum,CHESS,SHEAR,True,False,False,2,9
gameplay,CHESS,CRANE,True,False,False,2,9
curriculum,HOIST,SHEAR,True,False,False,2,9
gameplay,HOIST,CRANE,True,False,False,2,9
curriculum,BLOWN,CLOTH,True,False,False,3,14
gameplay,BLOWN,CLOTH,True,False,False,3,14
curriculum,COWER,FREED,True,False,False,3,26
gameplay,COWER,FREED,True,False,False,3,26
curriculum,FLUNK,CLOTH,True,False,False,3,8
gameplay,FLUNK,CLOTH,True,False,False,3,8
curriculum,COURT,SHEAR,True,False,False,2,103
gameplay,COURT,CRANE,True,False,False,2,103
curriculum,GOODY,CLOTH,True,False,False,3,16
gameplay,GOODY,CLOTH,True,False,False,3,16
curriculum,BONGO,FOGGY,True,False,False,4,1
gameplay,BONGO,FOGGY,True,False,False,4,1
curriculum,STUNK,SHEAR,True,False,False,2,80
gameplay,STUNK,CRANE,True,False,False,2,80
curriculum,THEME,GUEZE,True,False,False,3,8
gameplay,THEME,BEGUN,True,False,False,3,8
curriculum,MOLAR,BARDY,True,False,False,3,7
gameplay,MOLAR,ADORN,True,False,False,3,7
curriculum,TROPE,SHEAR,True,False,False,2,40
gameplay,TROPE,CRANE,True,False,False,2,40
curriculum,BOSSY,SLOSH,True,False,False,3,2
gameplay,BOSSY,SLOSH,True,False,False,3,2
curriculum,BOUGH,CLOTH,True,False,False,3,4
gameplay,BOUGH,CLOTH,True,False,False,3,4
curriculum,HOVER,FROKER,False,False,False,4,9
gameplay,HOVER,FROKER,False,False,False,4,9
curriculum,BRAID,BRAIL,True,False,False,3,4
gameplay,BRAID,TRAIL,True,False,False,3,4
curriculum,DRAKE,BRACE,True,False,False,3,6
gameplay,DRAKE,CRANE,True,False,False,3,6
curriculum,BRAVE,FRAME,True,False,True,4,2
gameplay,BRAVE,FRAME,True,False,True,4,2
curriculum,TRACT,BARDY,True,False,False,3,16
gameplay,TRACT,ADORN,True,False,False,3,16
curriculum,GRAPH,FRANK,True,False,False,4,3
gameplay,GRAPH,FRANK,True,False,False,4,3
curriculum,BRAWL,GRAPH,True,False,False,5,1
gameplay,BRAWL,GRAPH,True,False,False,5,1
curriculum,BREAD,BREACH,False,False,False,3,8
gameplay,BREAD,BEGAN,True,False,False,3,8
curriculum,BREED,ERUPT,True,False,False,3,4
gameplay,BREED,ERUPT,True,False,False,3,4
curriculum,BRIAR,SHEAR,True,False,False,2,4
gameplay,BRIAR,CRANE,True,False,False,2,4
curriculum,FRIED,SHEAR,True,False,False,2,12
gameplay,FRIED,CRANE,True,False,False,2,12
curriculum,BROIL,FROTH,True,False,False,3,2
gameplay,BROIL,CRIMP,True,False,False,3,2
curriculum,DRONE,PROVE,True,False,False,3,7
gameplay,DRONE,PROVE,True,False,False,3,7
curriculum,BROKE,FROZE,True,False,True,4,3
gameplay,BROKE,FROZE,True,False,True,4,3
curriculum,DROOP,DROOK,True,False,True,3,19
gameplay,DROOP,DROOK,True,False,True,3,19
curriculum,BRUNT,DROOK,True,False,False,3,2
gameplay,BRUNT,DROOK,True,False,False,3,2
curriculum,CRUST,SHEAR,True,False,False,2,13
gameplay,CRUST,CRANE,True,False,False,2,13
curriculum,BRUSH,DRUSH,True,False,True,3,1
gameplay,BRUSH,CRUSH,True,False,False,3,1
curriculum,BUDGE,GUNNE,True,False,False,3,3
gameplay,BUDGE,BEGUN,True,False,False,3,3
curriculum,BUGLE,GUEZE,True,False,False,3,1
gameplay,BUGLE,GUNNE,True,False,False,3,1
curriculum,BULLY,CLOTH,True,False,False,3,6
gameplay,BULLY,CLOTH,True,False,False,3,6
curriculum,BUNCH,CLOTH,True,False,False,3,6
gameplay,BUNCH,CLOTH,True,False,False,3,6
curriculum,HUMUS,STUNG,True,False,False,3,8
gameplay,HUMUS,STUNG,True,False,False,3,8
curriculum,PANIC,SHEAR,True,False,False,2,14
gameplay,PANIC,CRANE,True,False,False,2,14
curriculum,CABIN,CABIL,True,False,False,3,1
gameplay,CABIN,CABIN,True,True,True,3,1
curriculum,CADET,VALET,True,False,False,3,5
gameplay,CADET,VALET,True,False,False,3,5
curriculum,CAGEY,CAMEL,True,False,False,4,2
gameplay,CAGEY,CAMEL,True,False,False,4,2
curriculum,CANDY,BAGGY,True,False,False,3,9
gameplay,CANDY,TANGO,True,False,False,3,9
curriculum,CARRY,BARTY,True,False,False,3,4
gameplay,CARRY,BARTY,True,False,False,3,4
