teacher_word,constrained_word,constrained_top1_match,free_output,free_valid,free_in_candidates,free_history_consistent,candidate_count
SLASH,SLASH,True,BZIYEJEYBZIYEJEJ,False,False,False,22
GRATE,GRATE,True,BZIYEJEYBZIYEJEJ,False,False,False,3
BROKE,BROKE,True,BZIYEJEYBZIYEJEJ,False,False,False,3
TAPER,TAPER,True,BZIYEJEYBZIYEJEJ,False,False,False,28
LATER,LATER,True,BZIYEJEYBZIYEJEJ,False,False,False,2
STRAP,STRAP,True,BZIYEJEYBZIYEJEJ,False,False,False,21
SLASH,SLASH,True,BZIYEJEYBZIYEJEJ,False,False,False,22
CRIED,CRIED,True,BZIYEJEYBZIYEJEJ,False,False,False,4
LAPSE,LAPSE,True,BZIYEJEYBZIYEJEJ,False,False,False,5
GIVER,GIVER,True,BZIYEJEYBZIYEJEJ,False,False,False,9
WHOOP,WHOOP,True,BZIYEJEYBZIYBZBZ,False,False,False,6
FORTH,FORTH,True,BZIYEJEYBZIYBZBZ,False,False,False,5
CURSE,CURSE,True,BZIYEJEYBZIYEJEJ,False,False,False,8
LAGER,LAGER,True,BZIYEJEYBZIYEJEJ,False,False,False,12
DROIT,DROIT,True,BZIYEJEYBZIYEJEJ,False,False,False,23
SALSA,SALSA,True,BZIYEJEYBZIYEJEJ,False,False,False,7
AMITY,AMITY,True,BZIYEJEYBZIYBZBZ,False,False,False,2
DOING,DOING,True,BZIYEJEYBZIYBZBZ,False,False,False,5
BEFIT,BEFIT,True,BZIYEJEYBZIYEJEJ,False,False,False,7
CABLE,CABLE,True,BZIYEJEYBZIYEJEJ,False,False,False,26
STINK,STINK,True,BZIYEJEYBZIYEJEJ,False,False,False,29
CIVIL,CIVIL,True,BZIYEJEYBZIYBZBZ,False,False,False,5
CREED,CREED,True,BZIYEJEYBZIYEJEJ,False,False,False,3
